menu_index,Basic_ID,Basic_Name,Basic_Weight_g,Basic_Price_TWD,Label_Cal_kcal,Label_CalNoSa_kcal,Label_Carbohydrate_g,Label_Protein_g,Label_Fat_g,Label_Sugar_g,Label_DietFiber_g,Label_Water_g,Label_Coffeine,Compound_MonoSa_g,Compound_DiSa_g,Compound_PolySa_g,Compound_SaFat_g,Compound_MonounUnsaFat_g,Compound_PolyUnsaFat_g,Compound_TransFat_g,Compound_Cholesterol_mg,Vitamin_A_μg,Vitamin_D_μg,Vitamin_E_μg,Vitamin_K_μg,Vitamin_B1_mg,Vitamin_B2_mg,Vitamin_B6_μg,Vitamin_B12_μg,Vitamin_C_mg,Vitamin_B3_μg,Vitamin_B9_μg,Vitamin_Choline_μg,Vitamin_B7_μg,Vitamin_B5_μg,Element_Na_mg,Element_Ca_mg,Element_P_mg,Element_Mg_mg,Element_Fe_mg,Element_Zi_mg,Element_I_mg,Element_Se_mg,Element_F_mg
50,0001EAIAXE1C0050,薯餅,,,160,,14,1,10,,,,,,,,5,4,1,,0,16,,,,0.3,0,,,3,,,,,,32,11,,,0,,,,
51,0001EAIAXE2K0051,勁辣香鷄翅（二塊）,,,240,,9,12,17,,,,,,,,7,0,0,,0,0,,,,0,0,,,0,,,,,,590,0,,,0,,,,
52,0001EAIAXC1C0052,四季沙拉（小）,,,20,,4,1,0,,,,,,,,0,0,0,,0.02,0,,,,0,0,,,10,,,,,,30,10,,,0,,,,
53,0001EAIAXC1C0053,四季沙拉（大）,,,20,,5,1,0,,,,,,,,0,0,0,,0.02,0,,,,0,0,,,10,,,,,,40,14,,,0,,,,
54,0001EAIAXD1C0054,聖代（草莓）,,,260,,48,5,6,,,,,,,,4,1.5,0,,5,23,,,,0.2,0.4,,,3,,,,,,105,194,,,0,,,,
55,0001EAIAXD1C0055,聖代（巧克力）,,,300,,49,6,9,,,,,,,,6,2,0,,5,9,,,,0.2,0.5,,,0,,,,,,170,236,,,1,,,,
56,0001EAIAXD1C0056,聖代（芝麻）,,,305,,37,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,
57,0001EAIAXD1C0057,巧克力奶昔,,,380,,66,10,9,,,,,,,,5,2.5,0.5,,5,28,,,,2.6,0.9,,,2,,,,,,210,377,,,1,,,,
58,0001EAIAXD1C0058,奶昔（草莓）,,,380,,67,10,9,,,,,,,,5,2.5,0.5,,5,20,,,,0.4,0.9,,,3,,,,,,220,380,,,0,,,,
59,0001EAIAXD1C0059,奶昔（香草）,,,380,,66,9,9,,,,,,,,5,2.5,0.5,,5,28,,,,2,0.9,,,1,,,,,,180,375,,,0,,,,
60,0001EAIAXD1C0060,冰旋風（OREO）,,,330,,51,6,12,,,,,,,,6,4,1,,5,1,,,,0.2,0.4,,,0,,,,,,240,200,,,1,,,,
61,0001EAIAXD1C0061,冰旋風（法式焦糖脆片）,,,290,,50,7,7,,,,,,,,4.5,2,0.5,,5,0,,,,0.2,0.5,,,0,,,,,,140,234,,,0,,,,
62,0001EAIAXD1C0062,冰旋風（芝麻）,,,372,,48,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,
63,0001EAIAXD1C0063,蛋捲冰淇淋,,,140,,23,3,3.5,,,,,,,,2.5,1,0,,5,0,,,,0.1,0.3,,,0,,,,,,70,117,,,0,,,,
64,0001EAIAXE1C0064,蘋果派,,,230,,30,2,12,,,,,,,,5,3.5,2,,0,9,,,,0,0,,,8,,,,,,150,10,,,1,,,,
65,0001EAIAXH1C0065,四季水果袋（蘋果切片）,,,30,,8,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,20,2,,,0,,,,
66,0001EAIAXH1C0066,四季水果袋（洋香瓜切片）,,,23,,5,1,0,5,,,,,,,0,,0,,,,,,,,,,,,,,,,,10,,,,,,,,
67,0001EAIAXH1C0067,玉米杯,,,75,,15,2,1,5,,,,,,,0.2,,0,,,,,,,,,,,,,,,,,140,,,,,,,,
68,0001EASAXJ1C0068,可口可樂（輕鬆杯）,,,120,,29,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
69,0001EASAXJ1C0069,可口可樂（小杯）,,,160,,39,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
70,0001EASAXJ1C0070,可口可樂（中杯）,,,210,,52,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,15,0,,,0,,,,
71,0001EASAXJ1C0071,可口可樂（大杯）,,,310,,78,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,20,0,,,0,,,,
72,0001EASAXJ1C0072,可口可樂ZERO（輕鬆杯）,,,0,,0,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,30,0,,,0,,,,
73,0001EASAXJ1C0073,可口可樂ZERO（小杯）,,,0,,0,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,45,0,,,0,,,,
74,0001EASAXJ1C0074,可口可樂ZERO（中杯）,,,0,,0,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,55,0,,,0,,,,
75,0001EASAXJ1C0075,可口可樂ZERO（大杯）,,,0,,0,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,85,0,,,0,,,,
76,0001EASAXJ1C0076,雪碧（輕鬆杯）,,,120,,29,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,25,0,,,0,,,,
77,0001EASAXJ1C0077,雪碧（小杯）,,,160,,39,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,35,0,,,0,,,,
78,0001EASAXJ1C0078,雪碧（中杯）,,,210,,52,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,45,0,,,0,,,,
79,0001EASAXJ1C0079,雪碧（大杯）,,,310,,78,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,70,0,,,0,,,,
80,0001EASAXJ2A0080,雀巢茶品檸檬茶（輕鬆杯）,,,90,,21,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,15,0,,,0,,,,
81,0001EASAXJ2A0081,雀巢茶品檸檬茶（小杯）,,,110,,28,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,20,0,,,0,,,,
82,0001EASAXJ2A0082,雀巢茶品檸檬茶（中杯）,,,150,,38,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,25,0,,,0,,,,
83,0001EASAXJ2A0083,雀巢茶品檸檬茶（大杯）,,,230,,57,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,35,0,,,0,,,,
84,0001EASAXJ0A0084,爽健美茶（輕鬆杯）,,,0,,0,0,0,,,,A,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
85,0001EASAXJ0A0085,爽健美茶（小杯）,,,0,,1,0,0,,,,A,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
86,0001EASAXJ0A0086,爽健美茶（中杯）,,,5,,1,0,0,,,,A,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,15,0,,,0,,,,
87,0001EASAXJ0A0087,爽健美茶（大杯）,,,5,,1,0,0,,,,A,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,25,0,,,0,,,,
88,0001EASAXJ2A0088,冰紅茶（檸檬風味）小杯,,,117,,29,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
89,0001EASAXJ2A0089,冰紅茶（檸檬風味）中杯,,,156,,38,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
90,0001EASAXJ2A0090,冰紅茶（檸檬風味）大杯,,,163,,40,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
91,0001EASAXJ0A0091,冰綠茶（無糖）小杯,,,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
92,0001EASAXJ0A0092,冰綠茶（無糖）中杯,,,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
93,0001EASAXJ0A0093,冰綠茶（無糖）大杯,,,6,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
94,0001EASAXD2F0094,冰那堤（中杯）,,,120,,10,6,6,,,,B,,,,4,1.5,0,,0,12,,,,0.2,0.4,,,0,,,,,,30,71,,,0,,,,
95,0001EASAXD2F0095,冰那堤（大杯）,,,170,,15,8,9,,,,B,,,,6,2.5,0.5,,0,17,,,,0.3,0.5,,,0,,,,,,40,105,,,0,,,,
96,0001EASAXJ2F0096,經典冰咖啡,,,8,,1,0.6,0,7,,,B,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,0,0,,,0,,,,
97,0001EASAXJ1C0097,焦糖冰奶茶,,,170,,29,2,4.5,,,,,,,,4,0,0.4,,5,0,,,,0,0,,,0,,,,,,45,61,,,0,,,,
98,0001EASAXJ2A0098,柳橙汁（小兒童杯）,,,80,,19,1,0,,,,,,,,0,0,0,,0,2,,,,0,0,,,83,,,,,,0,16,,,0,,,,
99,0001EASAXJ2A0099,柳橙汁（小杯）,,,140,,33,1,0,,,,,,,,0,0,0,,0,3,,,,0,0,,,144,,,,,,0,27,,,0,,,,
100,0001EASAXJ2A0100,柳橙汁（大杯）,,,180,,44,1,0,,,,,,,,0,0,0,,0,4,,,,0,0,,,191,,,,,,0,36,,,0,,,,
101,0001EASAXJ1C0101,高鈣鮮乳,,,147,,9.4,7.1,9,,,,,,,,6,2,0,,30,14,,,,0.1,0.4,,,0,,,,,,94,283,,,0,,,,
102,0001EASAXE2H0102,玉米湯（小）,,,100,,18,2,2.5,,,,,,,,1,0,0,,0,0,,,,0,0,,,1,,,,,,630,1,,,0,,,,
103,0001EASAXE2H0103,玉米湯（大）,,,150,,27,3,3.5,,,,,,,,2,0,0,,0,0,,,,0,0.1,,,2,,,,,,940,1,,,0,,,,
104,0001EASAXE1C0104,熱巧克力,,,140,,22,1,5,,,,,,,,1,1.5,2,,0,0,,,,0,0,,,0,,,,,,180,24,,,0,,,,
105,0001EASAXE1C0105,熱紅茶,,,0,,0,0,0,,,,A,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,0,0,,,0,,,,
106,0001EASAXE1C0106,焦糖熱奶茶（小杯）,,,35,,3,1,2,,,,A,,,,2,0,0.2,,5,0,,,,0,0,,,0,,,,,,20,31,,,0,,,,
107,0001EASAXE1C0107,焦糖熱奶茶（中杯）,,,70,,5,2,4.5,,,,A,,,,4,0,0.4,,5,0,,,,0,0,,,0,,,,,,40,61,,,0,,,,
108,0001EASAXE2F0108,經典美式咖啡（小杯）,,,5,,1,1,0,,,,B,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,5,0,,,0,,,,
109,0001EASAXE2F0109,經典美式咖啡（中杯）,,,10,,1,1,0,,,,B,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,5,0,,,0,,,,
110,0001EASAXE2F0110,亞美利加諾（小杯）,,,5,,1,0,0,,,,B,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
111,0001EASAXE2F0111,亞美利加諾（中杯）,,,10,,2,1,0,,,,B,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,20,0,,,0,,,,
112,0001EASAXE2F0112,卡布其諾（小杯）,,,100,,9,5,5,,,,A,,,,3.5,1.5,0,,0,10,,,,0.2,0.3,,,0,,,,,,20,61,,,0,,,,
113,0001EASAXE2F0113,卡布其諾（中杯）,,,140,,12,7,7,,,,B,,,,5,2,0,,0,14,,,,0.2,0.4,,,0,,,,,,30,84,,,0,,,,
114,0001EASAXE2F0114,那堤（小杯）,,,120,,10,6,6,,,,A,,,,4,2,0,,0,12,,,,0.2,0.4,,,0,,,,,,25,73,,,0,,,,
115,0001EASAXE2F0115,那堤（中杯）,,,160,,14,8,8,,,,B,,,,5,2.5,0,,0,16,,,,0.3,0.5,,,0,,,,,,30,96,,,0,,,,
116,0001EAIAXB1C0116,蕃茄醬,,,10,,3,0,0,,,,,,,,0,0,0,,0,19,,,,0,0,,,1,,,,,,100,1,,,0,,,,
117,0001EAIAXB2A0117,鬆餅乳酪,,,35,,0,0,4,,,,,,,,3,0,0,,10,45,,,,0,0,,,0,,,,,,35,0,,,0,,,,
118,0001EAIAXB2A0118,醣醋醬,,,50,,11,0,0,,,,,,,,0,0,0,,0,14,,,,0.1,0,,,0,,,,,,160,2,,,0,,,,
119,0001EAIAXB2A0119,草莓果醬,,,40,,10,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,0,0,,,0,,,,
120,0001EAIAXB1C0120,鬆餅糖漿,,,130,,33,0,0,,,,,,,,0,0,0,,0,44,,,,0,0,,,0,,,,,,15,0,,,0,,,,
121,0001EAIAXB1C0121,奶精,,,25,,0,0,3.5,,,,,,,,2,0.5,0,,0,0,,,,0,0,,,0,,,,,,15,2,,,0,,,,
122,0001EAIAXB1C0122,千島醬,,,100,,3,0,10,,,,,,,,1,0,0,,0,0,,,,0,0,,,0,,,,,,125,0,,,0,,,,
123,0001EAIAXB2H0123,和風醬,,,25,,3,0,1.5,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,210,0,,,0,,,,
124,0001EAIAXB2A0124,百香果醬,,,20,,5,0,0,,,,,,,,0,0,0,,0,0,,,,0,0,,,0,,,,,,10,0,,,0,,,,
125,0001EABEkG0A0125,超值早餐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0001EABEkG0A0126,有氧早餐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0002EAJHXB1F0001,薄皮嫩雞(棒腿),,,167,,7.2,14.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,
128,0002EAJHXB1F0002,卡拉脆雞(棒腿),,,236,,11.5,15.7,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,,,,,,,
129,0002EAJHXB2G0003,煙燻蜜汁烤雞腿,,,177,,1.6,22.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,791.3,,,,,,,,
130,0002EAJHXB1F0004,黃金塔塔魚排堡,,,451.2,,50.6,15,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.5,,,,,,,,
131,0002EAJHXB1F0005,巴黎卡菲豬排堡,,,481.6,,46.6,21.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,879,,,,,,,,
132,0002EAJHXB2K0006,卡拉雞腿堡,,,445,,50.7,25.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,,,,,,,,
133,0002EAJHXB2C0007,紐奧良烤雞腿堡,,,411.2,,46.3,23.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,696.5,,,,,,,,
134,0002EAJHXB2H0008,玉米咕咕雞腿堡,,,376,,55,11.3,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,,
135,0002EAJHXB1F0009,上校雞塊(4塊),,,193,,9.1,15.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,447,,,,,,,,
136,0002EAJHXB2K0010,哈辣雞翅(1對),,,172,,5.2,11.5,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,
137,0002EAJHXB1F0011,呼拉鮮蝦圈,,,140,,16,3.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,304.5,,,,,,,,
138,0002EAJHXB1F0012,烤翅(1對),,,93,,4.9,9.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,
139,0002EAJHXB1C0013,原味蛋達,,,182,,17.3,2.6,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,
140,0002EAJHXB1C0014,黑糖麻糬蛋達,,,220,,27.9,3.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,59.74,,,,,,,,
141,0002EAJHXB2K0015,勁辣雞米花,,,186,,17.5,13.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,
142,0002EAJHXB1F0016,薯條(中),,,361,,53.6,4.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,
143,0002EAJHXB1C0017,玉米,,,86,,14.7,3.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
144,0002EAJHXB2H0018,玉米濃湯,,,126,,16.7,5.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,582,,,,,,,,
145,0002EATHXG1C0019,經典奶茶12oz,,,160.7,,27.4,1,5.3,,,,B,,,,,,,,,,,,,,,,,,,,,,,32.2,,,,,,,,
146,0002EATHXG1C0020,經典奶茶16oz,,,216.8,,37,1.3,7.2,,,,C,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,
147,0002EATHXG2F0021,卡布奇諾,,,87,,6.3,6.3,3.9,,,,B,,,,,,,,,,,,,,,,,,,,,,,60.6,,,,,,,,
148,0002EATHXG1D0022,經典咖啡8oz,,,5.1,,0.6,0.6,0,,,,B,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,
149,0002EATHXG1D0023,經典咖啡12oz,,,9,,1.2,1.2,0,,,,B,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,
